threshold,fee,bets,win_rate,avg_price_paid,roi_per_$,roi_ci95
0.02,no fee,2208,0.4542572463768116,0.4524546308186595,0.001593029994384764,-0.044 to +0.048
0.02,5% sports fee,2208,0.4542572463768116,0.46444153529683735,-0.025027561097062036,-0.070 to +0.020
0.04,no fee,2207,0.44132306298142276,0.44852862911912095,-0.017682819358869895,-0.065 to +0.031
0.04,5% sports fee,2207,0.44132306298142276,0.4602460718593428,-0.043978969569659444,-0.090 to +0.004
0.06,no fee,2185,0.425629290617849,0.43863398927622427,-0.04678549936883998,-0.094 to +0.004
0.06,5% sports fee,2185,0.425629290617849,0.4498522646614736,-0.07241277558704388,-0.118 to -0.024
0.08,no fee,2070,0.41256038647342996,0.4221305254429469,-0.04901198931760291,-0.108 to +0.014
0.08,5% sports fee,2070,0.41256038647342996,0.4328704132858049,-0.07513463391708075,-0.133 to -0.015
0.1,no fee,1831,0.4128891316220644,0.41558159090936647,-0.028645978822469925,-0.096 to +0.043
0.1,5% sports fee,1831,0.4128891316220644,0.42598893442537145,-0.05571449252929838,-0.121 to +0.013
